City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
258,Hobyo,SO,5.3505,48.5268,80.65,76,19,11.5,few clouds
259,Chapais,CA,49.7834,-74.8492,31.78,94,100,10.76,light snow
260,Makat,KZ,47.6469,53.3463,38.89,76,0,7.47,clear sky
261,Hambantota,LK,6.1241,81.1185,77.34,100,40,3.44,scattered clouds
262,Broome,US,42.2506,-75.833,62.71,84,100,14.97,overcast clouds
263,Rusera,IN,25.75,86.0333,66.2,52,0,5.59,clear sky
264,Australind,AU,-33.2667,115.7167,51.75,71,86,6.85,overcast clouds
265,Aklavik,CA,68.2191,-135.0107,6.22,93,52,3.04,broken clouds
266,Ariano Irpino,IT,41.1489,15.0833,51.46,92,83,2.91,broken clouds
267,Mazagao,BR,-0.115,-51.2894,87.85,75,51,4.05,broken clouds
268,Trinidad,BO,-14.8333,-64.9,93.18,49,40,11.5,scattered clouds
269,Aranda De Duero,ES,41.6704,-3.6892,51.93,87,69,16.96,broken clouds
270,Rocha,UY,-34.4833,-54.3333,64.35,81,7,12.17,clear sky
271,Jeremoabo,BR,-10.075,-38.4808,78.69,70,99,12.12,overcast clouds
272,Leningradskiy,RU,69.3833,178.4167,-4.86,96,91,6.98,overcast clouds
273,Koumac,NC,-20.5667,164.2833,77.7,73,87,9.66,overcast clouds
274,Cururupu,BR,-1.8283,-44.8683,76.66,86,47,3.58,scattered clouds
275,Mount Gambier,AU,-37.8333,140.7667,56.73,76,86,9.93,light rain
276,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,92,38,12.73,scattered clouds
277,Luderitz,NA,-26.6481,15.1594,57.67,86,0,6.24,clear sky
278,San Quintin,MX,30.4833,-115.95,65.84,46,76,5.79,broken clouds
279,Neftcala,AZ,39.3742,49.2472,56.86,79,100,3.69,light rain
280,Havelock,US,34.8791,-76.9013,75.18,91,75,14.97,broken clouds
281,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,56,2.01,broken clouds
282,Neiafu,TO,-18.65,-173.9833,83.08,83,40,2.3,scattered clouds
283,Pochutla,MX,15.7432,-96.4661,84.02,74,61,5.12,broken clouds
284,Husainabad,IN,24.5333,84.0167,63.77,63,0,3.11,clear sky
285,Ranong,TH,9.9658,98.6348,76.87,91,100,4.52,light rain
286,Caravelas,BR,-17.7125,-39.2481,75.61,83,75,8.68,broken clouds
287,San Policarpo,PH,12.1791,125.5072,81.57,82,84,8.97,broken clouds
288,Svetlogorsk,BY,52.6333,29.7333,45.1,93,100,9.04,overcast clouds
289,Guozhen,CN,34.3659,107.359,42.71,95,100,3.91,overcast clouds
290,Devarkonda,IN,16.7,78.9333,67.59,76,19,5.19,few clouds
291,Jumla,NP,29.2747,82.1838,38.21,68,1,4.36,clear sky
292,Dobele,LV,56.625,23.2786,54.48,88,99,14.47,overcast clouds
293,Lebu,CL,-37.6167,-73.65,54.99,90,77,12.86,light rain
294,Vila,PT,42.0304,-8.1588,50.88,85,0,5.17,clear sky
295,Rawson,AR,-43.3002,-65.1023,59.34,70,100,14.5,light rain
296,Warrenton,ZA,-28.114,24.8475,65.88,75,92,11.16,light rain
297,Baculin,PH,7.4525,126.5842,79.11,85,99,6.76,overcast clouds
298,Blackwater,AU,-23.5833,148.8833,74.75,52,0,10.67,clear sky
299,Port Hawkesbury,CA,45.6169,-61.3485,50.18,87,20,3.44,few clouds
300,Tautira,PF,-17.7333,-149.15,77.79,76,52,4.25,broken clouds
301,Meadow Lake,US,34.8014,-106.5436,49.68,23,0,6.24,clear sky
302,Barcs,HU,45.96,17.4586,46.72,87,99,3.83,overcast clouds
303,Hami,CN,42.8,93.45,32.38,45,3,3.47,clear sky
304,Bowen,AU,-20.0167,148.2333,77.49,61,0,11.27,clear sky
305,Struer,DK,56.4912,8.5838,56.1,88,48,21.07,scattered clouds
306,Bethel,US,41.3712,-73.414,66.29,87,100,9.22,moderate rain
307,Krasnogvardeyskiy,RU,57.3793,62.3195,37.8,99,100,7.74,overcast clouds
308,Esso,RU,55.9333,158.7,6.53,97,96,6.44,overcast clouds
309,Liverpool,GB,53.4106,-2.9779,60.3,82,75,6.91,broken clouds
310,Chokurdakh,RU,70.6333,147.9167,-24.84,98,95,6.6,overcast clouds
311,Mogadishu,SO,2.0371,45.3438,78.17,83,52,12.93,broken clouds
312,Tual,ID,-5.6667,132.75,82.94,77,83,6.64,broken clouds
313,Asau,RO,46.4333,26.4,45.52,81,17,2.59,few clouds
314,Krivosheino,RU,57.3431,83.9261,25.74,95,82,8.16,broken clouds
315,Tucurui,BR,-3.7661,-49.6725,83.37,58,100,3.42,overcast clouds
316,Nishihara,JP,26.1842,127.7558,77.05,97,75,12.66,broken clouds
317,Ciudad Bolivar,VE,8.1222,-63.5497,81.41,76,74,6.87,broken clouds
318,Hofn,IS,64.2539,-15.2082,43.7,81,63,5.79,broken clouds
319,Nador,MA,35.174,-2.9287,68.25,73,20,4.61,few clouds
320,Las Matas De Farfan,DO,18.8731,-71.5166,77.47,76,48,2.39,light rain
321,Taoudenni,ML,22.6783,-3.9836,78.76,14,98,10.85,overcast clouds
322,Savinka,RU,50.0785,47.0994,36.3,80,31,9.8,scattered clouds
323,Khandbari,NP,27.3747,87.2039,55.0,82,24,3.98,few clouds
324,Kununurra,AU,-15.7667,128.7333,78.78,89,22,0.0,few clouds
325,Panaba,MX,21.2833,-88.2667,78.85,69,77,10.07,broken clouds
326,Paris,FR,48.8534,2.3488,49.78,92,0,4.61,clear sky
327,Baijiantan,CN,45.6333,85.1833,36.12,61,99,0.74,overcast clouds
328,Greenville,US,35.6127,-77.3663,78.96,86,75,16.11,broken clouds
329,Akdepe,TM,42.0551,59.3788,35.69,59,21,7.29,few clouds
330,Carauari,BR,-4.8828,-66.8958,77.25,88,85,5.37,moderate rain
331,Omboue,GA,-1.5746,9.2618,76.21,89,58,5.08,light rain
332,Flinders,AU,-34.5833,150.8552,70.18,84,25,1.99,scattered clouds
333,Katsuura,JP,35.1333,140.3,63.75,80,22,4.61,few clouds
334,La Ronge,CA,55.1001,-105.2842,14.22,67,75,9.22,light snow
335,Cabedelo,BR,-6.9811,-34.8339,81.27,75,8,9.1,clear sky
336,Nome,US,64.5011,-165.4064,15.87,74,0,6.91,clear sky
337,Snyder,US,32.7179,-100.9176,49.08,36,100,14.97,overcast clouds
338,Coquimbo,CL,-29.9533,-71.3436,62.33,67,0,9.22,clear sky
339,Mackay,AU,-21.15,149.2,76.68,62,5,5.88,clear sky
340,Hasaki,JP,35.7333,140.8333,58.21,73,75,10.87,light rain
341,Freeport,US,40.6576,-73.5832,67.98,90,100,18.41,heavy intensity rain
342,Nolinsk,RU,57.5596,49.9363,41.65,93,100,9.57,overcast clouds
343,Pemangkat,ID,1.1667,108.9667,77.11,87,100,4.61,overcast clouds
344,Sangar,RU,63.9242,127.4739,-23.37,100,84,2.93,broken clouds
345,Papar,MY,5.7333,115.9333,73.4,90,82,3.02,broken clouds
346,Newport,GB,51.5877,-2.9984,55.94,87,31,9.15,scattered clouds
